id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000001,abeille-argelie,abeille-argelie,Q63215430,Tragedy,False,Abeille,"Argélie, Reine de Thessalie",Tragédie,0,ismene,29,5,8,4,4,0,0,0,1884,0.0,17307,15962,0,,1678.0,1674.0,1674,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml', 'http://theatre-classique.fr/pages/documents/ABEILLE_ARGELIE.xml']",,,,,4.25,0.6071428571428571,0.822023809523809,8,7,1,17,2,1.392857142857142
span######,alarcon-verdad-sospechosa,alarcon-verdad-sospechosa,,Comedy,False,Ruiz de Alarcón y Mendoza,La verdad sospechosa,,0,garcia|tristan,41,3,14,11,3,0,0,1,3306,,16919,16461,473,1619,,,1619,,,,,,6.571428571428571,0.505494505494505,0.7699649556792411,14,11,1,46,3,1.593406593406593
ita######,amenta-somiglianza,amenta-somiglianza,,Comedy,False,Amenta,La somiglianza,,0,several characters,67,5,13,9,4,0,0,2373,0,,34634,33671,1282,,,1706.0,1706,https://books.google.de/books?id=nfwwhgTh1iYC,,,,,10.615384615384615,0.884615384615384,0.9032800532800531,13,12,1,69,2,1.115384615384615
span######,amescua-esclavo-demonio,amescua-esclavo-demonio,,,False,Mira de Amescua,El esclavo del demonio,,0,several characters,3,3,23,17,4,2,0,0,3516,,18153,17413,742,1605,,,1605,,,,,,19.130434782608695,0.8695652173913041,0.931742399476953,23,22,1,220,2,1.130434782608695
ita000020,andreini-lo-schiavetto,andreini-lo-schiavetto,Q83893270,Comedy,False,Andreini,Lo schiavetto,,0,nottola,46,5,24,21,2,1,1,1659,40,0.0,41485,38458,258,,,1612.0,1612,http://www.bibliotecaitaliana.it/testo/bibit001590,UTET,Torino,1982.0,,14.083333333333334,0.6123188405797101,0.8599951862722761,24,22,1,169,3,1.391304347826087
ger######,anonym-lustig-pickelherings-spiel,anonym-lustig-pickelherings-spiel,,Comedy,False,Anonym,Ein ander lustig Pickelherings Spiel,,0,fraw|hans|wilhelm,2,2,3,2,1,0,0,63,63,,3855,3820,194,,,1620.0,1620,http://www.textgridrep.org/textgrid:jnhh.0,,,,,2.0,1.0,1.0,3,2,1,3,1,1.0
ger#######,anonym-macht-kleines-knaben,anonym-macht-kleines-knaben,,Comedy,False,(Anonym),Comoedia von Macht des kleinen Knaben Cupidinis,,0,jucunda|hans-wurst|florettus,21,5,7,4,2,1,0,0,383,,14899,14673,535,,,1630.0,1630,https://doi.org/10.1515/9783110842968,,,,,4.571428571428571,0.7619047619047611,0.8571428571428571,7,6,1,16,2,1.2380952380952381
span######,artieda-los-amantes,artieda-los-amantes,,Tragedy,False,Rey de Artieda,Los amantes,,0,marcilla|marido_sigura,16,4,19,12,4,3,0,1,1664,,10701,9680,225,1577,,,1577,,,,,,8.105263157894736,0.450292397660818,0.7674763832658571,19,14,1,77,3,1.619883040935672
ep000460,bailey-the-spiteful-sister,bailey-the-spiteful-sister,,,False,Bailey,The Spiteful Sister,,0,several characters,5,5,51,37,11,3,3,485,1567,,19376,17985,1064,,,1667.0,1667,https://texts.earlyprint.org/works/A29360.xml,,,,,31.607843137254903,0.6321568627450981,0.8820613872891461,51,50,1,806,2,1.367843137254902
span######,bances-esclavo-grillos,bances-esclavo-grillos,,,False,Bances Candamo,El esclavo en grillos de oro,,0,several characters,3,3,21,15,5,1,1,0,3890,,18702,18175,529,,1692.0,,1692,https://dadun.unav.edu/bitstream/10171/43969/1/BIADIG44_Bances.pdf,,,,,19.333333333333332,0.9666666666666661,0.9771929824561401,21,20,1,203,2,1.033333333333333
